time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-04T01:46:07.200Z,36.8194,-98.2204,5,2.5,mb_lg,,92,0.017,0.35,us,us20009kkq,2017-06-04T02:00:19.040Z,"14km ENE of Cherokee, Oklahoma",earthquake,1.7,2,0.065,62,reviewed,us,us
2017-06-04T01:05:43.343Z,59.8196,-153.1069,94.8,2.5,ml,,,,0.61,ak,ak16172319,2017-06-04T01:18:46.014Z,"71km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-06-04T00:56:13.630Z,35.3429,140.4627,27.22,4.5,mb,,116,1.985,0.7,us,us20009kkf,2017-06-04T03:24:36.432Z,"12km NE of Ohara, Japan",earthquake,6.2,3.9,0.09,36,reviewed,us,us
2017-06-04T00:51:47.370Z,2.4719,126.8912,13.43,4.7,mb,,108,1.754,0.99,us,us20009kk6,2017-06-04T01:17:34.040Z,"149km WNW of Tobelo, Indonesia",earthquake,5.8,4.5,0.082,45,reviewed,us,us
2017-06-04T00:20:53.090Z,-18.72,-172.6667,10,5.1,mb,,81,2.617,1.7,us,us20009kjz,2017-06-04T00:45:38.040Z,"139km E of Neiafu, Tonga",earthquake,8.6,1.8,0.066,75,reviewed,us,us
2017-06-04T00:07:28.550Z,-27.8028,-71.0685,29.3,4.3,mwr,,100,0.4,0.97,us,us20009kjl,2017-06-04T00:41:10.053Z,"87km SW of Copiapo, Chile",earthquake,3.5,4.8,0.037,70,reviewed,us,us
2017-06-04T00:06:56.950Z,35.3973351,-117.7125015,6.68,3.46,ml,91,24,0.08569,0.18,ci,ci37661159,2017-06-04T01:40:14.729Z,"8km WNW of Johannesburg, CA",earthquake,0.18,0.72,0.274,16,reviewed,ci,ci
2017-06-04T00:06:04.640Z,19.2764,-64.2727,33.67,4.1,mb,,125,1.052,1.01,us,us20009kjj,2017-06-04T00:22:24.040Z,"101km NNE of Road Town, British Virgin Islands",earthquake,6.1,9.9,0.184,8,reviewed,us,us
2017-06-03T23:32:47.620Z,19.1749,-64.3445,37.52,4,mb,,123,0.931,0.61,us,us20009kjf,2017-06-03T23:48:17.040Z,"88km NNE of Road Town, British Virgin Islands",earthquake,6.4,14.3,0.164,10,reviewed,us,us
2017-06-03T22:21:44.320Z,-21.8886,-68.5915,96.78,5,mwr,,25,0.611,1.48,us,us20009kja,2017-06-03T22:40:55.040Z,"73km NNE of Calama, Chile",earthquake,5.7,4.9,0.052,35,reviewed,us,us
2017-06-03T21:45:18.794Z,59.8702,-152.1088,58.4,2.9,ml,,,,0.64,ak,ak16171138,2017-06-03T21:55:20.113Z,"18km NW of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-06-03T20:29:20.000Z,39.7586,-98.1903,16.17,3,mb_lg,,119,1.129,0.68,us,us20009kj0,2017-06-03T22:28:10.483Z,"3km SSE of Mankato, Kansas",earthquake,3.3,8.5,0.053,92,reviewed,us,us
