name,lat,lng,dy,dx
Poas,10.2,-84.233,-3,-9
Rincon de la Vieja,10.83,-85.324,0,2
Sheveluch,56.653,161.36,1,0
Aira,31.593,130.657,2,-3
Bezymianny,55.972,160.595,-1,2
Bogoslof,53.93,-168.03,2,.5
Cleveland,52.825,-169.944,-4,1
Colima,19.514,-103.62,2,-5
Dukono,1.693,127.894,0,2
Ebeko,50.686,156.014,-4,-5
Fuego,14.473,-90.88,-.5,3
Kilauea,19.421,-155.287,-1,2
Klyuchevskoy,56.056,160.642,0,-23
Langila,-5.525,148.42,-1,2
Manam,-4.08,145.037,2,0
Nevado del Ruiz,4.892,-75.324,-4,-12
Pacaya,14.381,-90.601,-3.5,-9
Sabancaya,-15.787,-71.857,-1,2
Santa Maria,14.757,-91.552,3,-7
Sinabung,3.17,98.392,-1,2
Turrialba,10.025,-83.767,-2.5,2
